Name	Accession	Location	Collection Date
VC-18-Nepal-2010	SRR308721	Banke district, Nepalgunj municipality, Nepal	8/31/2010
VC-19-Nepal-2010	SRR308722	Kathmandu district, Kathmandu city, Nepal	8/15/2010
VC-25-Nepal-2010	SRR308726	Rupandehi district, Butawal municipality, Nepal	8/30/2010
VC-26-Nepal-2010	SRR308727	Rupandehi district, Butawal municipality, Nepal	8/30/2010
VC-6-Nepal-2010	SRR308703	Banke district, Nepalgunj municipality, ward 4, Nepal	8/1/2010
HC-06A1-Haiti-2010	SRR190870	Saint-Marc, Artibonite , Haiti	2010
CP1042-Thailand-2010	SRR227324	Thailand	2010
CP1032-Mexico-1991	SRR227312	Mexico	1991
2010EL-1786-Haiti-2010	NC_016445.1,NC_016446.1 (assembled reference genome)	Haiti	2010
